Department,EmployeeNumber,MonthlyIncome,HighestDepartmentSalary,SalaryDifference
"Research & Development",1080,4615,19999,15384
"Research & Development",1081,2461,19999,17538
"Research & Development",1082,8722,19999,11277
"Research & Development",1083,3955,19999,16044
"Research & Development",1084,9957,19999,10042
"Research & Development",1085,3376,19999,16623
"Research & Development",1088,8823,19999,11176
"Research & Development",1092,10322,19999,9677
"Research & Development",1094,4621,19999,15378
"Research & Development",1096,10976,19999,9023
"Research & Development",1097,3660,19999,16339
"Research & Development",1099,7119,19999,12880
"Research & Development",1101,4508,19999,15491
"Research & Development",1102,2207,19999,17792
"Research & Development",1103,7756,19999,12243
"Research & Development",1106,3691,19999,16308
"Research & Development",1107,2377,19999,17622
"Research & Development",1108,2313,19999,17686
"Research & Development",1109,17665,19999,2334
"Research & Development",1111,2596,19999,17403
"Research & Development",1115,2979,19999,17020
"Research & Development",1116,16885,19999,3114
"Research & Development",1118,10445,19999,9554
"Research & Development",1120,2514,19999,17485
"Research & Development",1121,7655,19999,12344
"Research & Development",1126,10820,19999,9179
"Research & Development",1127,12169,19999,7830
"Research & Development",1128,19626,19999,373
"Research & Development",1131,2070,19999,17929
"Research & Development",1132,6782,19999,13217
"Research & Development",1133,7779,19999,12220
"Research & Development",1136,3201,19999,16798
"Research & Development",1140,4033,19999,15966
"Research & Development",1143,3291,19999,16708
"Research & Development",1148,4272,19999,15727
"Research & Development",1150,5056,19999,14943
"Research & Development",1154,2703,19999,17296
"Research & Development",1156,1904,19999,18095
"Research & Development",1158,4766,19999,15233
"Research & Development",1160,2610,19999,17389
"Research & Development",1161,5731,19999,14268
"Research & Development",1162,2539,19999,17460
"Research & Development",1166,13499,19999,6500
"Research & Development",1172,2258,19999,17741
"Research & Development",1173,3597,19999,16402
"Research & Development",1175,2515,19999,17484
"Research & Development",1177,4420,19999,15579
"Research & Development",1180,4422,19999,15577
"Research & Development",1182,10274,19999,9725
"Research & Development",1184,5343,19999,14656
"Research & Development",1185,2376,19999,17623
"Research & Development",1191,19943,19999,56
"Research & Development",1192,3131,19999,16868
"Research & Development",1193,2552,19999,17447
"Research & Development",1195,4477,19999,15522
"Research & Development",1196,6474,19999,13525
"Research & Development",1198,3033,19999,16966
"Research & Development",1200,2936,19999,17063
"Research & Development",1201,18606,19999,1393
"Research & Development",1202,2168,19999,17831
"Research & Development",1203,2853,19999,17146
"Research & Development",1206,2290,19999,17709
"Research & Development",1210,2107,19999,17892
"Research & Development",1215,17856,19999,2143
"Research & Development",1216,3196,19999,16803
"Research & Development",1217,19081,19999,918
"Research & Development",1219,2210,19999,17789
"Research & Development",1221,2741,19999,17258
"Research & Development",1224,3491,19999,16508
"Research & Development",1225,4541,19999,15458
"Research & Development",1228,7379,19999,12620
"Research & Development",1234,2743,19999,17256
"Research & Development",1235,4998,19999,15001
"Research & Development",1237,10252,19999,9747
"Research & Development",1238,2781,19999,17218
"Research & Development",1241,3579,19999,16420
"Research & Development",1242,13191,19999,6808
"Research & Development",1244,2235,19999,17764
"Research & Development",1245,10502,19999,9497
"Research & Development",1246,2011,19999,17988
"Research & Development",1248,1859,19999,18140
"Research & Development",1249,3760,19999,16239
"Research & Development",1250,17779,19999,2220
"Research & Development",1251,6833,19999,13166
"Research & Development",1252,6812,19999,13187
"Research & Development",1255,19740,19999,259
"Research & Development",1256,18711,19999,1288
"Research & Development",1257,3692,19999,16307
"Research & Development",1258,2559,19999,17440
"Research & Development",1259,2517,19999,17482
"Research & Development",1260,6623,19999,13376
"Research & Development",1263,18265,19999,1734
"Research & Development",1264,16124,19999,3875
"Research & Development",1265,2585,19999,17414
"Research & Development",1269,2994,19999,17005
"Research & Development",1270,1223,19999,18776
"Research & Development",1275,2875,19999,17124
"Research & Development",1278,13577,19999,6422
"Research & Development",1279,2625,19999,17374
"Research & Development",1283,10512,19999,9487
"Research & Development",1285,4444,19999,15555
"Research & Development",1286,2154,19999,17845
"Research & Development",1288,19190,19999,809
"Research & Development",1291,3506,19999,16493
"Research & Development",1292,2372,19999,17627
"Research & Development",1294,5410,19999,14589
"Research & Development",1295,7978,19999,12021
"Research & Development",1296,3867,19999,16132
"Research & Development",1297,2838,19999,17161
"Research & Development",1298,4695,19999,15304
"Research & Development",1299,3339,19999,16660
"Research & Development",1301,2080,19999,17919
"Research & Development",1303,2096,19999,17903
"Research & Development",1306,18061,19999,1938
"Research & Development",1307,17123,19999,2876
"Research & Development",1308,2372,19999,17627
"Research & Development",1309,4883,19999,15116
"Research & Development",1310,3904,19999,16095
"Research & Development",1311,4627,19999,15372
"Research & Development",1312,7094,19999,12905
"Research & Development",1315,6674,19999,13325
"Research & Development",1317,16880,19999,3119
"Research & Development",1321,11916,19999,8083
"Research & Development",1322,4534,19999,15465
"Research & Development",1333,2362,19999,17637
"Research & Development",1334,17861,19999,2138
"Research & Development",1336,19187,19999,812
"Research & Development",1340,3544,19999,16455
"Research & Development",1344,8500,19999,11499
"Research & Development",1346,4661,19999,15338
"Research & Development",1350,4249,19999,15750
"Research & Development",1358,3669,19999,16330
"Research & Development",1360,10008,19999,9991
"Research & Development",1361,2387,19999,17612
"Research & Development",1363,7898,19999,12101
"Research & Development",1367,13142,19999,6857
"Research & Development",1368,1611,19999,18388
"Research & Development",1369,5363,19999,14636
"Research & Development",1373,13402,19999,6597
"Research & Development",1374,2029,19999,17970
"Research & Development",1375,6377,19999,13622
"Research & Development",1377,5429,19999,14570
"Research & Development",1382,2610,19999,17389
"Research & Development",1383,6687,19999,13312
"Research & Development",1389,6179,19999,13820
"Research & Development",1392,5467,19999,14532
"Research & Development",1394,2996,19999,17003
"Research & Development",1397,10920,19999,9079
"Research & Development",1401,13247,19999,6752
"Research & Development",1402,4081,19999,15918
"Research & Development",1405,2394,19999,17605
"Research & Development",1407,3904,19999,16095
"Research & Development",1409,2950,19999,17049
"Research & Development",1411,3629,19999,16370
"Research & Development",1412,9362,19999,10637
"Research & Development",1415,3229,19999,16770
"Research & Development",1417,3578,19999,16421
"Research & Development",1420,4284,19999,15715
"Research & Development",1421,7553,19999,12446
"Research & Development",1422,17328,19999,2671
"Research & Development",1423,19701,19999,298
"Research & Development",1424,14732,19999,5267
"Research & Development",1430,16422,19999,3577
"Research & Development",1431,2996,19999,17003
"Research & Development",1433,1261,19999,18738
"Research & Development",1434,2099,19999,17900
"Research & Development",1435,5810,19999,14189
"Research & Development",1438,3420,19999,16579
"Research & Development",1440,3500,19999,16499
"Research & Development",1441,2066,19999,17933
"Research & Development",1443,17169,19999,2830
"Research & Development",1447,3294,19999,16705
"Research & Development",1448,2127,19999,17872
"Research & Development",1449,3975,19999,16024
"Research & Development",1458,3646,19999,16353
"Research & Development",1459,7446,19999,12553
"Research & Development",1460,10851,19999,9148
"Research & Development",1464,3722,19999,16277
"Research & Development",1465,9380,19999,10619
"Research & Development",1468,13757,19999,6242
"Research & Development",1471,3162,19999,16837
"Research & Development",1472,16598,19999,3401
"Research & Development",1473,6651,19999,13348
"Research & Development",1474,2345,19999,17654
"Research & Development",1475,3420,19999,16579
"Research & Development",1480,3673,19999,16326
"Research & Development",1482,1274,19999,18725
"Research & Development",1483,4900,19999,15099
"Research & Development",1484,10466,19999,9533
"Research & Development",1485,17007,19999,2992
"Research & Development",1494,3172,19999,16827
"Research & Development",1496,10209,19999,9790
"Research & Development",1501,4035,19999,15964
"Research & Development",1502,3838,19999,16161
"Research & Development",1504,2561,19999,17438
"Research & Development",1506,1563,19999,18436
"Research & Development",1509,4789,19999,15210
"Research & Development",1513,3180,19999,16819
"Research & Development",1514,6549,19999,13450
"Research & Development",1515,6388,19999,13611
"Research & Development",1516,11244,19999,8755
"Research & Development",1520,16032,19999,3967
"Research & Development",1522,2362,19999,17637
"Research & Development",1523,16328,19999,3671
"Research & Development",1525,8376,19999,11623
"Research & Development",1529,8606,19999,11393
"Research & Development",1533,2272,19999,17727
"Research & Development",1534,2018,19999,17981
"Research & Development",1537,4084,19999,15915
"Research & Development",1539,14411,19999,5588
"Research & Development",1542,4841,19999,15158
"Research & Development",1543,4285,19999,15714
"Research & Development",1544,9715,19999,10284
"Research & Development",1545,4320,19999,15679
"Research & Development",1546,2132,19999,17867
"Research & Development",1547,10124,19999,9875
"Research & Development",1549,5207,19999,14792
"Research & Development",1551,2296,19999,17703
"Research & Development",1552,4069,19999,15930
"Research & Development",1553,7441,19999,12558
"Research & Development",1555,5878,19999,14121
"Research & Development",1802,3377,19999,16622
"Research & Development",1558,2451,19999,17548
"Research & Development",1564,2450,19999,17549
"Research & Development",1569,2074,19999,17925
"Research & Development",1572,10169,19999,9830
"Research & Development",1573,4855,19999,15144
"Research & Development",1574,4087,19999,15912
"Research & Development",1576,2367,19999,17632
"Research & Development",1577,2972,19999,17027
"Research & Development",1580,5484,19999,14515
"Research & Development",1581,2061,19999,17938
"Research & Development",1586,4723,19999,15276
"Research & Development",1587,6142,19999,13857
"Research & Development",1590,8853,19999,11146
"Research & Development",1592,2073,19999,17926
"Research & Development",1594,5562,19999,14437
"Research & Development",1595,19613,19999,386
"Research & Development",1596,3407,19999,16592
"Research & Development",1597,5063,19999,14936
"Research & Development",1599,4876,19999,15123
"Research & Development",1601,2690,19999,17309
"Research & Development",1604,2408,19999,17591
"Research & Development",1605,2814,19999,17185
"Research & Development",1606,11245,19999,8754
"Research & Development",1607,3312,19999,16687
"Research & Development",1608,19049,19999,950
"Research & Development",1609,2141,19999,17858
"Research & Development",1611,5769,19999,14230
"Research & Development",1614,4663,19999,15336
"Research & Development",1615,4724,19999,15275
"Research & Development",1617,3211,19999,16788
"Research & Development",1618,5377,19999,14622
"Research & Development",1619,4066,19999,15933
"Research & Development",1621,5208,19999,14791
"Research & Development",1622,4877,19999,15122
"Research & Development",1623,3117,19999,16882
"Research & Development",1627,3069,19999,16930
"Research & Development",1628,10435,19999,9564
"Research & Development",1630,4148,19999,15851
"Research & Development",1631,5768,19999,14231
"Research & Development",1633,5042,19999,14957
"Research & Development",1635,5770,19999,14229
"Research & Development",1638,7756,19999,12243
Sales,23,15427,19847,4420
Sales,27,3407,19847,16440
Sales,35,6825,19847,13022
Sales,38,18947,19847,900
Sales,42,2086,19847,17761
Sales,47,2683,19847,17164
Sales,49,2014,19847,17833
Sales,52,5376,19847,14471
Sales,56,8726,19847,11121
Sales,60,4568,19847,15279
Sales,62,5772,19847,14075
Sales,68,5454,19847,14393
Sales,72,4157,19847,15690
Sales,74,9069,19847,10778
Sales,81,7637,19847,12210
Sales,91,5473,19847,14374
Sales,100,4312,19847,15535
Sales,106,10239,19847,9608
Sales,113,2322,19847,17525
Sales,118,9619,19847,10228
Sales,120,5441,19847,14406
Sales,121,5209,19847,14638
Sales,125,5010,19847,14837
Sales,128,4999,19847,14848
Sales,129,4221,19847,15626
Sales,131,13872,19847,5975
Sales,142,5744,19847,14103
Sales,152,7428,19847,12419
Sales,154,9738,19847,10109
Sales,158,16959,19847,2888
Sales,160,6146,19847,13701
Sales,163,6172,19847,13675
Sales,167,1675,19847,18172
Sales,174,9208,19847,10639
Sales,175,4559,19847,15288
Sales,176,8189,19847,11658
Sales,182,5902,19847,13945
Sales,183,8639,19847,11208
Sales,195,4668,19847,15179
Sales,204,7295,19847,12552
Sales,205,2306,19847,17541
Sales,207,8998,19847,10849
Sales,215,10855,19847,8992
Sales,216,2231,19847,17616
Sales,228,9419,19847,10428
Sales,230,8686,19847,11161
Sales,235,2325,19847,17522
Sales,240,5006,19847,14841
Sales,244,10453,19847,9394
Sales,248,3140,19847,16707
Sales,283,7639,19847,12208
Sales,291,10400,19847,9447
Sales,293,9981,19847,9866
Sales,298,13591,19847,6256
Sales,299,6696,19847,13151
Sales,302,8865,19847,10982
Sales,303,5940,19847,13907
Sales,307,10609,19847,9238
Sales,311,2793,19847,17054
Sales,312,7918,19847,11929
Sales,314,8789,19847,11058
Sales,323,19517,19847,330
Sales,327,16064,19847,3783
Sales,329,19068,19847,779
Sales,330,3931,19847,15916
Sales,333,4465,19847,15382
Sales,349,6931,19847,12916
Sales,361,5249,19847,14598
Sales,363,16872,19847,2975
Sales,366,6644,19847,13203
Sales,378,6502,19847,13345
Sales,382,5605,19847,14242
Sales,387,4907,19847,14940
Sales,388,4554,19847,15293
Sales,399,2789,19847,17058
Sales,401,5828,19847,14019
Sales,404,13525,19847,6322
Sales,406,8020,19847,11827
Sales,410,16015,19847,3832
Sales,411,1200,19847,18647
Sales,416,6929,19847,12918
Sales,420,5484,19847,14363
Sales,436,5228,19847,14619
Sales,437,4478,19847,15369
Sales,438,7547,19847,12300
Sales,445,5238,19847,14609
Sales,446,4682,19847,15165
Sales,449,6349,19847,13498
Sales,453,7457,19847,12390
Sales,456,6118,19847,13729
Sales,458,6214,19847,13633
Sales,463,8268,19847,11579
Sales,467,2976,19847,16871
Sales,469,4649,19847,15198
Sales,473,12504,19847,7343
Sales,475,4736,19847,15111
Sales,476,5296,19847,14551
Sales,478,2174,19847,17673
Sales,479,6653,19847,13194
Sales,481,9699,19847,10148
Sales,484,2610,19847,17237
Sales,485,2851,19847,16996
Sales,488,9355,19847,10492
Sales,492,6380,19847,13467
Sales,494,2716,19847,17131
Sales,498,5253,19847,14594
Sales,500,4936,19847,14911
Sales,502,5304,19847,14543
Sales,507,4260,19847,15587
Sales,508,2476,19847,17371
Sales,513,7596,19847,12251
Sales,516,5715,19847,14132
Sales,523,6538,19847,13309
Sales,527,4487,19847,15360
Sales,532,13212,19847,6635
Sales,533,6577,19847,13270
Sales,534,8392,19847,11455
Sales,554,3202,19847,16645
Sales,555,2351,19847,17496
Sales,558,18041,19847,1806
Sales,567,8412,19847,11435
Sales,568,14118,19847,5729
Sales,573,10266,19847,9581
Sales,580,9071,19847,10776
Sales,585,2983,19847,16864
Sales,592,9980,19847,9867
Sales,595,4051,19847,15796
Sales,597,16835,19847,3012
Sales,599,6230,19847,13617
Sales,600,4717,19847,15130
Sales,604,6582,19847,13265
Sales,606,4805,19847,15042
Sales,613,11557,19847,8290
Sales,614,1878,19847,17969
Sales,615,10932,19847,8915
Sales,618,4306,19847,15541
Sales,620,4859,19847,14988
Sales,621,5337,19847,14510
Sales,625,16595,19847,3252
Sales,626,8834,19847,11013
Sales,631,4707,19847,15140
Sales,632,2400,19847,17447
Sales,641,6272,19847,13575
Sales,645,2096,19847,17751
Sales,648,2033,19847,17814
Sales,650,4233,19847,15614
Sales,653,5460,19847,14387
Sales,656,9602,19847,10245
Sales,666,2579,19847,17268
Sales,667,3041,19847,16806
Sales,669,3447,19847,16400
Sales,677,7104,19847,12743
Sales,682,8381,19847,11466
Sales,684,4286,19847,15561
Sales,690,5561,19847,14286
Sales,707,4851,19847,14996
Sales,709,4028,19847,15819
Sales,712,8120,19847,11727
Sales,714,4647,19847,15200
Sales,720,4577,19847,15270
Sales,722,5396,19847,14451
Sales,723,6796,19847,13051
Sales,728,4960,19847,14887
Sales,729,10475,19847,9372
Sales,732,5405,19847,14442
Sales,738,3875,19847,15972
Sales,746,13770,19847,6077
Sales,747,5304,19847,14543
Sales,749,2642,19847,17205
Sales,754,6804,19847,13043
Sales,766,2297,19847,17550
Sales,776,16856,19847,2991
Sales,781,6180,19847,13667
Sales,783,6632,19847,13215
Sales,785,6397,19847,13450
Sales,786,6274,19847,13573
Sales,789,7587,19847,12260
Sales,796,5326,19847,14521
Sales,800,4342,19847,15505
Sales,805,2572,19847,17275
Sales,808,6500,19847,13347
Sales,819,5324,19847,14523
Sales,840,7654,19847,12193
Sales,842,5160,19847,14687
Sales,846,4779,19847,15068
Sales,1486,2909,19847,16938
Sales,1487,5765,19847,14082
Sales,1700,9525,19847,10322
Sales,1489,4599,19847,15248
Sales,1702,2275,19847,17572
Sales,1492,2404,19847,17443
Sales,1324,9852,19847,9995
Sales,1706,7847,19847,12000
Sales,1495,2033,19847,17814
Sales,1708,9241,19847,10606
Sales,1329,6151,19847,13696
Sales,1710,4502,19847,15345
Sales,1497,8620,19847,11227
Sales,925,3294,19847,16553
Sales,1716,12936,19847,6911
Sales,956,4294,19847,15553
Sales,1331,2302,19847,17545
Sales,1239,6852,19847,12995
Sales,1503,4591,19847,15256
Sales,922,2044,19847,17803
Sales,1240,4950,19847,14897
Sales,986,13194,19847,6653
Sales,1507,4898,19847,14949
Sales,981,14852,19847,4995
Sales,1165,7336,19847,12511
Sales,1731,4978,19847,14869
Sales,1732,10368,19847,9479
Sales,1733,6134,19847,13713
Sales,1734,6735,19847,13112
Sales,1243,10377,19847,9470
Sales,1114,4302,19847,15545
Sales,1349,4103,19847,15744
Sales,1739,9610,19847,10237
Sales,1740,19833,19847,14
Sales,916,4908,19847,14939
Sales,1167,13758,19847,6089
Sales,904,7642,19847,12205
Sales,903,4537,19847,15310
Sales,1749,8346,19847,11501
Sales,975,4601,19847,15246
Sales,1752,2760,19847,17087
Sales,1355,6893,19847,12954
Sales,1754,7140,19847,12707
Sales,1356,6125,19847,13722
Sales,1756,5147,19847,14700
Sales,1757,4507,19847,15340
Sales,1758,8564,19847,11283
Sales,1527,16606,19847,3241
Sales,1761,8161,19847,11686
Sales,1171,5155,19847,14692
Sales,1039,13320,19847,6527
Sales,1055,2220,19847,17627
Sales,1535,7083,19847,12764
Sales,1362,4639,19847,15208
Sales,1117,5593,19847,14254
Sales,1541,2308,19847,17539
Sales,1364,2534,19847,17313
Sales,1056,1052,19847,18795
Sales,1774,4001,19847,15846
Sales,1179,6578,19847,13269
Sales,900,2973,19847,16874
Sales,1779,6029,19847,13818
Sales,1780,2679,19847,17168
Sales,1254,5171,19847,14676
Sales,1371,5071,19847,14776
Sales,1784,5468,19847,14379
Sales,1372,13695,19847,6152
Sales,1787,4189,19847,15658
Sales,1548,5473,19847,14374
Sales,1119,8740,19847,11107
Sales,954,9705,19847,10142
Sales,897,11836,19847,8011
Sales,1797,5813,19847,14034
Sales,1040,6347,19847,13500
Sales,1029,18303,19847,1544
Sales,1124,17465,19847,2382
Sales,1801,7991,19847,11856
Sales,1,5993,19847,13854
Sales,1554,2430,19847,17417
Sales,1379,2785,19847,17062
Sales,896,2800,19847,17047
Sales,1556,2644,19847,17203
Sales,1380,4614,19847,15233
Sales,1812,4127,19847,15720
Sales,1188,5346,19847,14501
Sales,1560,6392,19847,13455
Sales,1815,10447,19847,9400
Sales,1562,9714,19847,10133
Sales,893,2899,19847,16948
Sales,952,2413,19847,17434
Sales,1190,2827,19847,17020
Sales,1823,6799,19847,13048
Sales,1824,16291,19847,3556
Sales,1568,9250,19847,10597
Sales,1387,4724,19847,15123
Sales,1125,7351,19847,12496
Sales,1390,6120,19847,13727
Sales,1833,9637,19847,10210
Sales,1391,10596,19847,9251
Sales,1835,5405,19847,14442
Sales,1836,4684,19847,15163
Sales,1036,6861,19847,12986
Sales,1066,8396,19847,11451
Sales,889,6524,19847,13323
Sales,885,4256,19847,15591
Sales,1845,5154,19847,14693
Sales,1578,19586,19847,261
Sales,1849,5675,19847,14172
Sales,1395,9998,19847,9849
Sales,1396,4078,19847,15769
Sales,1853,4648,19847,15199
Sales,1582,9924,19847,9923
Sales,1583,4198,19847,15649
Sales,1585,6815,19847,13032
Sales,879,4194,19847,15653
Sales,1267,18213,19847,1634
Sales,1399,6232,19847,13615
Sales,1862,9907,19847,9940
Sales,1863,13225,19847,6622
Sales,1864,3540,19847,16307
Sales,868,6334,19847,13513
Sales,1588,8237,19847,11610
Sales,1268,8380,19847,11467
Sales,1591,19331,19847,516
Sales,1869,7314,19847,12533
Sales,1044,2342,19847,17505
Sales,1403,5769,19847,14078
Sales,1045,17650,19847,2197
Sales,1875,2856,19847,16991
Sales,1876,1081,19847,18766
Sales,1273,1118,19847,18729
Sales,1880,5673,19847,14174
Sales,974,2157,19847,17690
Sales,1882,9713,19847,10134
Sales,1598,4639,19847,15208
Sales,992,17444,19847,2403
Sales,1277,18824,19847,1023
Sales,1602,17567,19847,2280
Sales,864,10761,19847,9086
Sales,1070,10686,19847,9161
Sales,1135,2791,19847,17056
Sales,1898,6500,19847,13347
Sales,1280,18789,19847,1058
Sales,970,10609,19847,9238
Sales,1281,4538,19847,15309
Sales,1282,19847,19847,0
Sales,1908,5507,19847,14340
Sales,1909,4393,19847,15454
Sales,1100,9582,19847,10265
Sales,1912,6583,19847,13264
Sales,1915,8103,19847,11744
Sales,1612,4385,19847,15462
Sales,1613,5332,19847,14515
Sales,1137,4968,19847,14879
Sales,1924,5487,19847,14360
Sales,1927,6834,19847,13013
Sales,1928,1091,19847,18756
Sales,1929,5736,19847,14111
Sales,1204,17048,19847,2799
Sales,1425,9278,19847,10569
Sales,1933,9854,19847,9993
Sales,1427,1359,19847,18488
Sales,1935,5380,19847,14467
Sales,1428,4779,19847,15068
Sales,1138,13120,19847,6727
Sales,1938,17875,19847,1972
Sales,983,5666,19847,14181
Sales,985,7880,19847,11967
Sales,1624,1569,19847,18278
Sales,1943,5087,19847,14760
Sales,862,10934,19847,8913
Sales,1945,5561,19847,14286
Sales,947,6932,19847,12915
Sales,1037,4969,19847,14878
Sales,1293,10231,19847,9616
Sales,1950,9888,19847,9959
Sales,1951,8628,19847,11219
Sales,1436,5647,19847,14200
Sales,1211,4115,19847,15732
Sales,1439,4400,19847,15447
Sales,1212,4327,19847,15520
Sales,1047,9725,19847,10122
Sales,1961,2858,19847,16989
Sales,1962,5204,19847,14643
Sales,1965,4105,19847,15742
Sales,1639,10306,19847,9541
Sales,1967,5617,19847,14230
Sales,1968,10448,19847,9399
Sales,1048,11904,19847,7943
Sales,1445,4162,19847,15685
Sales,941,2329,19847,17518
Sales,859,4403,19847,15444
Sales,857,6201,19847,13646
Sales,1446,9204,19847,10643
Sales,1975,13341,19847,6506
Sales,1645,5440,19847,14407
Sales,1105,6694,19847,13153
Sales,1218,8966,19847,10881
Sales,990,5079,19847,14768
Sales,1453,10793,19847,9054
Sales,1650,5869,19847,13978
Sales,1986,5677,19847,14170
Sales,855,4037,19847,15810
Sales,1457,10096,19847,9751
Sales,1220,4539,19847,15308
Sales,1304,6209,19847,13638
Sales,1076,10798,19847,9049
Sales,1995,4440,19847,15407
Sales,1996,3067,19847,16780
Sales,967,10325,19847,9522
Sales,1657,2783,19847,17064
Sales,1077,2323,19847,17524
Sales,1157,8224,19847,11623
Sales,1466,5486,19847,14361
Sales,959,2121,19847,17726
Sales,1226,2678,19847,17169
Sales,1469,8463,19847,11384
Sales,1003,4163,19847,15684
Sales,1667,4581,19847,15266
Sales,2013,2269,19847,17578
Sales,984,7823,19847,12024
Sales,1669,4187,19847,15660
Sales,2016,10422,19847,9425
Sales,1670,5505,19847,14342
Sales,2018,4907,19847,14940
Sales,2019,3482,19847,16365
Sales,1233,5220,19847,14627
Sales,2021,2380,19847,17467
Sales,1673,5476,19847,14371
Sales,2023,1790,19847,18057
Sales,2024,7644,19847,12203
Sales,982,7264,19847,12583
Sales,1050,7525,19847,12322
Sales,1676,15972,19847,3875
Sales,1477,4373,19847,15474
Sales,1678,7082,19847,12765
Sales,1680,2728,19847,17119
Sales,2035,6712,19847,13135
Sales,2036,5406,19847,14441
Sales,2037,8938,19847,10909
Sales,1681,5368,19847,14479
Sales,851,16307,19847,3540
Sales,2041,5343,19847,14504
Sales,2044,6728,19847,13119
Sales,2045,6652,19847,13195
Sales,2046,4850,19847,14997
Sales,1478,4759,19847,15088
Sales,936,6244,19847,13603
Sales,1479,5301,19847,14546
Sales,1038,19845,19847,2
Sales,1481,4768,19847,15079
Sales,1691,2655,19847,17192
Sales,2055,10854,19847,8993
Sales,2056,12031,19847,7816
Sales,1318,9094,19847,10753
Sales,2060,2966,19847,16881
Sales,1319,8446,19847,11401
Sales,1113,4728,19847,15119
Sales,1163,5714,19847,14133
Sales,2065,5390,19847,14457
Sales,1557,6439,19847,13408
